model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resnet_Multi_Head_Attention_8,0,1,0.106078126,0.8333767,0.73160684,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resnet_Multi_Head_Attention_8,1,1,0.12411525,0.86564875,0.7093387,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,0,1,0.19555569,0.8665325,0.63723123,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,1,1,0.17046863,0.8743084,0.6546535,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,2,1,0.15554179,0.85491186,0.6612565,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,3,1,0.14012444,0.8236363,0.67603606,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,4,1,0.13119106,0.8530703,0.68851507,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,5,1,0.13726988,0.8995885,0.6860509,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,6,1,0.14397192,0.87086236,0.6799368,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,7,1,0.14234245,0.8377157,0.68185407,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,8,1,0.1353812,0.83764106,0.6882107,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,9,1,0.12873831,0.8063597,0.69564867,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,10,1,0.122343324,0.8404102,0.7019661,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,11,1,0.11972644,0.84342325,0.7043263,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,12,1,0.11631197,0.83602643,0.70759183,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,13,1,0.11382774,0.86737907,0.7106252,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_with_LN_and_residual_13M_8,14,1,0.11397144,0.87980604,0.70971304,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,0,1,0.030670915,0.94244516,0.6891195,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,1,1,0.07958582,0.9674709,0.5977013,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,2,1,0.11407011,0.95446134,0.56383127,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,3,1,0.120025046,1.0081562,0.554667,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,4,1,0.122061044,0.9587066,0.55081487,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,5,1,0.14153005,0.9921218,0.54540503,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,6,1,0.16393061,0.93141335,0.5384238,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,7,1,0.17715515,1.0063175,0.5335432,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,8,1,0.19305626,0.98007315,0.52946633,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,9,1,0.20071839,0.9612478,0.5264735,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,10,1,0.20080632,0.9713167,0.5251582,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,11,1,0.2000748,0.9209188,0.5236319,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,12,1,0.2043684,0.9920633,0.521955,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,13,1,0.21040794,0.97988045,0.52050984,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_16,14,1,0.21460016,0.960304,0.519212,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_deeper_8,0,1,0.12569194,0.8742158,0.6462085,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
Resblock+MultiHead_deeper_8,1,1,0.10835415,0.8510311,0.67318064,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
